mean_photon_number,p_correct,p_cross,p_same,hber_full_intercept,qber_full_intercept,max_intercept_fraction,qber_at_max_intercept
0.3,0.6182853085532525,0.31559998897250124,0.06611470247424632,0.3817146914467476,0.22391469696049693,0.49125850823184786,0.11
0.31,0.6252919404222,0.3104168182014643,0.06429124137633575,0.3747080595778,0.21949965047706788,0.501139750158701,0.11
0.32,0.6321774680247242,0.30529504192905593,0.06252749004621996,0.3678225319752759,0.21517501101074793,0.5112117781860159,0.11
0.32999999999999996,0.6389451028822248,0.30023447617400006,0.060820420943775176,0.3610548971177752,0.21093765903077522,0.5214810883245429,0.11
0.33999999999999997,0.6455978294340038,0.29523492524294936,0.05916724532304693,0.3544021705659963,0.2067847079445216,0.5319542295628165,0.11
0.35,0.6521384298546977,0.2902961819990926,0.0575653881462098,0.3478615701453024,0.2027134791457561,0.5426378179859822,0.11
0.36,0.658569505633884,0.2854180281291391,0.05601246623697701,0.3414304943661161,0.19872148030154654,0.5535385496982126,0.11
0.37,0.6648934964123531,0.28060023440864074,0.05450626917900622,0.33510650358764693,0.1948063863833266,0.5646632127529412,0.11
0.38,0.6711126964829344,0.2758425609655921,0.05304474255147358,0.3288873035170657,0.19096602303426963,0.5760186982595331,0.11
0.38999999999999996,0.6772292692941447,0.2711447575422758,0.05162597316357961,0.3227707307058554,0.1871983519347175,0.5876120108063814,0.11000000000000001
0.39999999999999997,0.6832452602386995,0.26650656375530046,0.05024817600600001,0.3167547397613005,0.18350145788365024,0.5994502783173847,0.10999999999999999
0.41,0.6891626079631676,0.2619277093537958,0.04890968268303672,0.31083739203683247,0.1798735373599346,0.6115407614399961,0.11
0.42,0.6949831543976593,0.2574079144757268,0.047608931126613865,0.30501684560234066,0.17631288836447728,0.6238908625477563,0.10999999999999999
0.42999999999999994,0.7007086536737083,0.2529468899022874,0.0463444564240043,0.29929134632629173,0.17281790137514802,0.636508134427667,0.11
0.43999999999999995,0.706340780073102,0.24854433731034273,0.045114882616555385,0.29365921992689814,0.16938705127172676,0.6494002887123914,0.11
0.44999999999999996,0.7118811351293581,0.24419994952288654,0.04391891534775531,0.28811886487064187,0.16601889010919857,0.6625752041086875,0.11000000000000001
0.45999999999999996,0.7173312539859715,0.23991341075748274,0.04275533525654583,0.2826687460140286,0.16271204063528721,0.6760409344663114,0.11
0.47,0.7226926111008434,0.23568439687266454,0.04162299202649214,0.2773073888991567,0.15946519046282442,0.6898057167256444,0.11
0.48,0.7279666253739516,0.2315125756122617,0.040520799013786746,0.2720333746260485,0.1562770868199176,0.7038779787772474,0.11000000000000001
0.49,0.7331546647648693,0.22739760684763377,0.03944772838749692,0.2668453352351307,0.1531465318113138,0.718266347262287,0.11
0.49999999999999994,0.7382580504579116,0.22333914281778441,0.038402806724304045,0.26174194954208846,0.15007237813319624,0.7329796553391715,0.11
0.51,0.7432780606251672,0.21933682836733406,0.03738511100749874,0.2567219393748328,0.14705352519116577,0.7480269504386438,0.11
0.52,0.7482159338312612,0.21539030118233313,0.03639376498640575,0.2517840661687389,0.1440889155775723,0.7634175020269338,0.11
0.5299999999999999,0.7530728721182072,0.21149919202389517,0.03542793585789755,0.24692712788179272,0.14117753186984514,0.7791608093943133,0.11
0.5399999999999999,0.7578500438040009,0.20766312495963152,0.034486831236367504,0.24214995619599902,0.13831839371618326,0.7952666094844187,0.11
0.5499999999999999,0.7625485860245373,0.20388171759287435,0.03356969638258839,0.23745141397546274,0.13551055517902555,0.8117448847779933,0.11
0.5599999999999999,0.7671696070449454,0.20015458128966968,0.03267581166538495,0.23283039295505462,0.13275310231021978,0.8286058712432202,0.11
0.57,0.7717141883633881,0.1964813214035292,0.031804490233082766,0.22828581163661196,0.13004515093484736,0.8458600663634895,0.11
0.58,0.7761833866277427,0.1928615374979264,0.030955075874330974,0.22381661337225736,0.12738584462329416,0.8635182372522815,0.11
0.59,0.7805782353832844,0.1892948235665273,0.030126941050188358,0.21942176461671564,0.124774352833452,0.8815914288638089,0.11
0.5999999999999999,0.7848997466674932,0.18578076825114268,0.029319485081364227,0.2151002533325069,0.12220986920693556,0.9000909723071479,0.11
0.6099999999999999,0.7891489124663474,0.18231895505739473,0.02853213247625788,0.21085108753365261,0.11969161000495525,0.9190284932707146,0.11
